classified.type,classified.subtype,classified.price,classified.transactionType,classified.zip,classified.kitchen.type,NOTRclassified.building.constructionYear,classified.building.condition,NOTRclassified.energy.heatingType,NOTRclassified.certificates.primaryEnergyConsumptionLevel,classified.bedroom.count,classified.land.surface,classified.atticExists,classified.outdoor.garden.surface,classified.outdoor.terrace.exists,classified.wellnessEquipment.hasSwimmingPool,classified.parking.parkingSpaceCount.indoor
house,house,169000,for sale,4480,installed,None,just renovated,gas,625,3,75,0,None,0,0,None
house,house,295000,for sale,1540,installed,2021,None,gas,None,3,300,0,None,0,0,None
house,house,310000,for sale,1540,installed,2021,None,gas,None,3,475,0,None,0,0,None
house,house,315000,for sale,1540,installed,2021,None,gas,None,3,368,0,None,0,0,None
house,house,320000,for sale,1540,installed,2021,None,gas,None,3,460,0,None,0,0,None
house,house,325000,for sale,1540,installed,2021,None,gas,None,3,485,0,None,0,0,None
house,house,315000,for sale,1540,installed,2021,None,gas,None,3,437,0,None,0,0,None
house,house,315000,for sale,1540,installed,2021,None,gas,None,3,499,0,None,0,0,None
house,house,295000,for sale,7850,installed,2021,None,gas,None,3,300,0,None,0,0,None
house,house,310000,for sale,7850,installed,2021,None,gas,None,3,475,0,None,0,0,None
house,house,315000,for sale,7850,installed,2021,None,gas,None,3,368,0,None,0,0,None
house,house,315000,for sale,7850,installed,2021,None,gas,None,3,437,0,None,0,0,None
house,house,315000,for sale,7850,installed,2021,None,gas,None,3,499,0,None,0,0,None
house,house,320000,for sale,7850,installed,2021,None,gas,None,3,460,0,None,0,0,None
house,house,325000,for sale,7850,installed,2021,None,gas,None,3,485,0,None,0,0,None
house,house,110000,for sale,9250,None,1950,to renovate,None,438,3,269,1,None,0,0,None
house,bungalow,220000,for sale,3770,installed,1974,None,None,477,3,800,0,None,1,0,1
house,house,260000,for sale,9000,None,None,to renovate,gas,289,2,0,0,None,0,0,None
house,house,150000,for sale,3500,None,1952,to be done up,None,385,3,206,1,None,0,0,None
house,house,370000,for sale,4540,semi equipped,1875,good,gas,456,6,557,0,None,1,0,None
house,house,149000,for sale,7730,semi equipped,None,to be done up,None,279,3,819,0,650,0,0,None
house,house,495000,for sale,1440,semi equipped,None,just renovated,gas,None,5,714,0,500,1,0,None
house,house,495000,for sale,1440,semi equipped,None,just renovated,gas,None,5,714,0,500,1,0,None
house,house,245000,for sale,4540,semi equipped,1875,good,gas,456,4,514,0,None,1,0,2
house,house,295000,for sale,4400,installed,None,good,gas,None,4,368,1,368,1,0,2
house,house,295000,for sale,4400,installed,None,good,gas,None,4,368,1,368,1,0,2
house,house,25000,for sale,4160,semi equipped,1899,good,fueloil,251,3,345,0,None,1,0,1
house,house,310000,for sale,9030,None,1938,to renovate,None,767,3,234,0,122,0,0,1
house,house,310000,for sale,9030,None,1938,to renovate,None,767,3,234,0,122,0,0,1
house,apartment block,225000,for sale,7880,None,1988,None,None,None,1,649,0,None,0,0,None
house,apartment block,225000,for sale,7880,None,1988,None,None,None,1,649,0,None,0,0,None
house,house,225000,for sale,7880,None,1988,None,None,None,1,649,0,None,0,0,None
house,house,225000,for sale,7880,None,1988,None,None,None,1,649,0,None,0,0,None
house,house,295000,for sale,8210,installed,1918,good,None,626,4,396,0,None,0,0,None
house,apartment block,223000,for sale,2800,semi equipped,1860,to renovate,electric,859,2,60,0,None,0,0,None
house,house,140000,for sale,4432,None,None,to be done up,electric,417,2,0,0,50,1,0,None
house,house,105000,for sale,7370,None,None,to be done up,gas,512,2,130,0,None,0,0,None
house,house,105000,for sale,7370,None,None,to be done up,gas,512,2,130,0,None,0,0,None
house,house,325000,for sale,2590,usa hyper equipped,2022,None,None,None,2,0,0,48,1,0,None
house,house,325000,for sale,2590,usa hyper equipped,2022,None,None,None,2,0,0,48,1,0,None
house,house,365000,for sale,2590,usa hyper equipped,2022,None,None,None,3,0,0,47,1,0,None
house,house,365000,for sale,2590,usa hyper equipped,2022,None,None,None,3,0,0,47,1,0,None
house,house,399000,for sale,2590,usa hyper equipped,2022,None,None,None,3,0,0,58,1,0,None
house,house,399000,for sale,2590,usa hyper equipped,2022,None,None,None,3,0,0,58,1,0,None
house,house,330000,for sale,1420,installed,1972,good,gas,208,3,249,0,None,0,0,1
house,house,259000,for sale,8310,None,None,to renovate,None,374,4,403,0,None,0,0,None
house,house,259000,for sale,8310,None,None,to renovate,None,374,4,403,0,None,0,0,None
house,town house,450000,for sale,1070,installed,1959,None,fueloil,None,3,276,0,1,1,0,1
house,house,399000,for sale,9032,installed,1931,to be done up,gas,489,3,290,0,None,0,0,1
house,villa,1775000,for sale,8300,None,1936,just renovated,None,179,8,0,0,None,0,0,None
house,house,354000,for sale,9880,installed,1998,as new,fueloil,205,3,672,0,None,1,0,1
house,house,335000,for sale,1601,installed,None,good,fueloil,265,4,320,0,None,1,0,None
house,house,370000,for sale,1600,None,1947,to be done up,None,310,4,175,1,None,0,0,None
house,house,280000,for sale,9200,None,1963,to renovate,None,510,4,360,0,None,1,0,1
house,house,280000,for sale,9200,None,1963,to renovate,None,510,4,360,0,None,1,0,1
house,house,195000,for sale,8450,None,1997,just renovated,None,391,2,103,0,None,0,0,None
house,house,195000,for sale,8450,None,1997,just renovated,None,391,2,103,0,None,0,0,None
house,house,345000,for sale,8211,None,1973,as new,fueloil,395,4,619,0,None,0,0,None
house,house,345000,for sale,8211,None,1973,as new,fueloil,395,4,619,0,None,0,0,None
house,house,229000,for sale,4610,installed,1935,good,gas,782,2,970,0,500,1,0,None
house,house,1195000,for sale,2018,None,1909,None,gas,257,6,190,1,60,1,0,None
house,house,1195000,for sale,2018,None,1909,None,gas,257,6,190,1,60,1,0,None
house,house,279000,for sale,9308,hyper equipped,None,as new,gas,554,4,260,1,84,1,0,None
house,house,279000,for sale,9308,hyper equipped,None,as new,gas,554,4,260,1,84,1,0,None
house,house,359000,for sale,2870,installed,None,good,gas,339,4,407,0,None,1,0,1
house,villa,790000,for sale,1440,hyper equipped,1993,as new,gas,262,4,1341,0,800,1,1,2
house,exceptional property,1680000,for sale,1380,hyper equipped,2014,as new,gas,54,6,2400,1,None,1,0,1
house,house,390000,for sale,5372,installed,None,good,fueloil,802,5,2518,1,None,0,0,None
house,house,600000,for sale,1190,installed,1924,None,gas,340,5,136,0,24,0,0,None
house,house,600000,for sale,1190,installed,1924,None,gas,340,5,136,0,24,0,0,None
house,house,250000,for sale,8000,None,1982,to be done up,None,319,3,243,1,None,1,0,1
house,house,250000,for sale,8000,None,1982,to be done up,None,319,3,243,1,None,1,0,1
house,farmhouse,799000,for sale,4537,hyper equipped,None,as new,gas,104,4,575,0,160,1,1,None
house,apartment block,1300000,for sale,1851,None,1970,good,electric,308,0,633,0,None,0,0,None
house,house,200000,for sale,2840,None,1932,None,None,312,3,501,1,None,0,0,None
house,country cottage,495000,for sale,1755,usa installed,1920,good,fueloil,413,4,1070,1,600,1,0,None
house,country cottage,495000,for sale,1755,usa installed,1920,good,fueloil,413,4,1070,1,600,1,0,None
house,country cottage,495000,for sale,2560,installed,1998,good,gas,220,4,727,0,570,1,0,None
house,house,399000,for sale,3090,None,1968,to be done up,electric,660,2,762,0,None,1,0,None
house,house,350000,for sale,2970,None,1974,None,None,555,3,1010,0,None,0,0,1
house,house,425000,for sale,1070,hyper equipped,1932,good,gas,390,4,106,1,50,0,0,None
house,house,495000,for sale,1410,hyper equipped,None,as new,gas,None,4,184,1,None,1,0,1
house,apartment block,440000,for sale,2060,installed,1938,to be done up,gas,None,5,165,0,36,0,0,None
house,apartment block,440000,for sale,2060,installed,1938,to be done up,gas,None,5,165,0,36,0,0,None
house,house,342000,for sale,3582,installed,1973,good,gas,183,6,963,0,540,1,0,1
house,house,220000,for sale,9900,None,1930,None,None,305,5,88,0,None,0,0,None
house,house,220000,for sale,9900,None,1930,None,None,305,5,88,0,None,0,0,None
house,house,290000,for sale,3020,installed,None,good,gas,345,2,250,1,None,1,0,None
house,house,399000,for sale,2830,semi equipped,None,good,gas,130,4,281,0,None,1,0,2
house,house,255000,for sale,1420,installed,None,good,gas,298,2,162,1,None,1,0,None
house,house,255000,for sale,1420,installed,None,good,gas,298,2,162,1,None,1,0,None
house,house,465500,for sale,3460,hyper equipped,2022,as new,gas,None,3,748,1,None,0,0,None
house,house,465500,for sale,3460,hyper equipped,2022,as new,gas,None,3,748,1,None,0,0,None
house,house,436500,for sale,3460,hyper equipped,2022,as new,gas,None,3,573,1,None,0,0,None
house,house,448500,for sale,3460,hyper equipped,2022,as new,gas,None,3,563,1,None,0,0,None
house,house,450000,for sale,6760,hyper equipped,None,just renovated,None,127,5,787,0,643,1,0,2
house,house,435500,for sale,3460,hyper equipped,2022,as new,gas,None,3,555,1,None,0,0,None
house,house,120000,for sale,7370,None,None,to renovate,None,633,2,3173,0,None,0,0,None
house,house,442500,for sale,3460,hyper equipped,2022,as new,gas,None,3,561,1,None,0,0,None
house,house,442500,for sale,3460,hyper equipped,2022,as new,gas,None,3,561,1,None,0,0,None
house,house,190000,for sale,3271,None,1991,None,None,290,2,901,0,None,0,0,1
house,villa,245000,for sale,2230,None,1933,None,None,473,4,1052,1,None,0,0,1
house,house,160000,for sale,4020,None,None,to renovate,gas,649,2,222,0,40,1,0,None
house,house,175000,for sale,1745,None,1906,to renovate,None,747,3,684,0,None,0,0,1
house,house,429000,for sale,8000,None,1951,None,None,350,4,97,0,None,0,0,None
house,house,429000,for sale,8000,None,1951,None,None,350,4,97,0,None,0,0,None
house,house,117000,for sale,8930,installed,1930,to renovate,gas,743,4,86,0,None,0,0,None
house,bungalow,299000,for sale,8610,installed,1980,good,gas,363,3,992,0,None,0,0,1
house,bungalow,299000,for sale,8610,installed,1980,good,gas,363,3,992,0,None,0,0,1
house,house,339000,for sale,9290,installed,2021,as new,gas,None,3,203,0,61,0,0,None
house,house,339000,for sale,9290,installed,2021,as new,gas,None,3,203,0,61,0,0,None
house,house,355000,for sale,2640,None,1957,None,gas,708,3,188,1,102,0,0,None
house,house,264000,for sale,8560,installed,None,just renovated,gas,164,3,505,0,250,1,0,None
house group,house group,472788 - 486998,for sale,9052,None,None,None,None,None,None,None,0,None,0,0,None
house,house,360000,for sale,9400,None,2005,as new,None,211,3,0,0,None,1,0,2
house,house,565000,for sale,9000,None,None,to renovate,electric,596,4,134,1,None,1,0,None
house,house,565000,for sale,9000,None,None,to renovate,electric,596,4,134,1,None,1,0,None
house,castle,1650000,for sale,1980,None,None,as new,fueloil,693,4,13246,0,None,1,0,2
house,house,165000,for sale,8540,None,None,None,fueloil,527,3,385,0,None,0,0,None
house,house,165000,for sale,8540,None,None,None,fueloil,527,3,385,0,None,0,0,None
house,house,385000,for sale,9190,installed,2021,None,gas,None,3,340,0,None,0,0,1
house,house,225000,for sale,9550,None,1953,to renovate,gas,469,2,658,0,None,0,0,1
house,country cottage,299000,for sale,3202,semi equipped,None,to be done up,fueloil,432,2,1726,0,None,0,0,1
house,country cottage,299000,for sale,3202,semi equipped,None,to be done up,fueloil,432,2,1726,0,None,0,0,1
house,house,375000,for sale,9000,None,1918,as new,None,211,4,87,0,None,0,0,None
house,house,375000,for sale,9000,None,1918,as new,None,211,4,87,0,None,0,0,None
house,villa,585000,for sale,8870,installed,1987,as new,gas,225,4,1460,0,None,1,0,None
house,house,195000,for sale,9300,None,None,to renovate,gas,633,4,90,0,None,0,0,None
house,house,179000,for sale,6183,installed,None,good,gas,540,4,409,1,None,1,0,None
house,house,199000,for sale,9420,installed,1918,to be done up,None,820,4,358,0,None,0,0,1
house,house,199000,for sale,9420,installed,1918,to be done up,None,820,4,358,0,None,0,0,1
house,town house,190000,for sale,4030,not installed,1951,to renovate,gas,335,3,125,0,70,1,0,1
house,apartment block,2200000,for sale,1060,not installed,1870,to renovate,gas,334,15,408,0,111,0,0,None
house,house,276000,for sale,9120,usa installed,None,good,electric,856,4,468,1,318,0,0,1
house,house,276000,for sale,9120,usa installed,None,good,electric,856,4,468,1,318,0,0,1
house,house,125000,for sale,4130,not installed,None,to renovate,None,616,3,490,0,405,1,0,1
house,house,1195000,for sale,2600,None,1909,None,gas,252,6,190,1,60,1,0,None
house,house,1195000,for sale,2600,None,1909,None,gas,252,6,190,1,60,1,0,None
house,house,379000,for sale,9420,hyper equipped,None,good,gas,419,3,472,1,160,1,0,None
house,house,379000,for sale,9420,hyper equipped,None,good,gas,419,3,472,1,160,1,0,None
house,house,499000,for sale,2040,None,1997,as new,gas,204,4,1810,1,None,1,0,1
house,exceptional property,995000,for sale,3130,hyper equipped,1806,good,fueloil,181,4,14780,1,14000,1,0,2
house,exceptional property,995000,for sale,3130,hyper equipped,1806,good,fueloil,181,4,14780,1,14000,1,0,2
house,house,379000,for sale,2660,installed,2022,as new,gas,None,3,22,0,None,1,0,1
house,house,120000,for sale,3960,installed,1969,None,None,242,4,366,0,None,1,0,1
house,house,149000,for sale,6040,hyper equipped,None,as new,gas,464,2,125,0,None,0,0,None
house,house,615000,for sale,6860,hyper equipped,2016,just renovated,None,65,3,2800,0,None,0,0,1
house,apartment block,225000,for sale,6240,installed,None,good,gas,375,3,100,0,None,0,0,None
house,villa,465000,for sale,1495,installed,None,good,fueloil,159,4,902,1,None,1,0,1
house,house,240000,for sale,6724,installed,None,None,None,309,4,590,0,None,0,0,1
house,apartment block,390000,for sale,1070,installed,1918,good,gas,265,3,85,0,None,1,0,None
house,apartment block,390000,for sale,1070,installed,1918,good,gas,265,3,85,0,None,1,0,None
house,apartment block,390000,for sale,1070,installed,1918,good,gas,265,3,85,0,None,1,0,None
house,apartment block,390000,for sale,1070,installed,1918,good,gas,265,3,85,0,None,1,0,None
house,house,170000,for sale,2060,None,1930,None,None,433,3,79,0,None,0,0,None
house group,house group,349000 - 358000,for sale,8000,None,None,None,None,None,None,None,0,None,0,0,None
house,house,200000,for sale,4710,None,None,as new,gas,323,4,521,0,215,0,0,None
house,country cottage,359000,for sale,2980,semi equipped,None,to be done up,gas,1324,2,753,1,None,1,0,None
house,country cottage,695000,for sale,2980,hyper equipped,None,as new,gas,374,5,1717,1,None,1,0,1
house,house,240000,for sale,8906,installed,None,good,gas,355,3,523,1,None,0,0,None
house,house,247000,for sale,8310,None,1950,None,None,418,3,165,0,None,0,0,None
house,house,247000,for sale,8310,None,1950,None,None,418,3,165,0,None,0,0,None
house,house,185000,for sale,8531,None,1959,None,None,1071,3,613,0,508,0,0,None
house,house,185000,for sale,8531,None,1959,None,None,1071,3,613,0,508,0,0,None
house,house,240000,for sale,7503,installed,None,good,gas,308,4,0,0,None,0,0,None
house,house,219000,for sale,8420,installed,None,good,fueloil,672,3,170,0,None,1,0,1
house,house,310000,for sale,1731,None,1948,to be done up,gas,339,2,383,1,None,1,0,1
house,house,310000,for sale,1731,None,1948,to be done up,gas,339,2,383,1,None,1,0,1
house,house,365000,for sale,3220,installed,None,good,None,288,4,486,0,390,0,0,1
house,house,235000,for sale,3300,None,None,good,None,294,4,105,0,48,1,0,None
house,house,380000,for sale,9120,installed,1970,None,gas,300,3,272,0,None,1,0,1
house,house,219000,for sale,4130,not installed,None,to be done up,fueloil,664,3,1223,0,None,1,0,None
house,house,389000,for sale,1000,installed,None,just renovated,gas,251,2,128,0,None,1,0,None
house,apartment block,800000,for sale,5101,hyper equipped,1981,good,gas,243,3,1721,1,150,1,0,1
house,house,315000,for sale,4053,installed,1965,good,gas,734,2,318,0,250,1,0,1
house,house,180000,for sale,1470,None,None,good,gas,251,3,80,0,None,0,0,None
house,house,160000,for sale,9500,None,1900,to be done up,None,679,4,1740,1,None,0,0,1
house,house,675000,for sale,8200,installed,None,good,gas,None,2,95,0,34,0,0,None
house,apartment block,1195000,for sale,1200,installed,1932,good,gas,305,5,268,1,None,0,0,2
house,apartment block,1195000,for sale,1200,installed,1932,good,gas,305,5,268,1,None,0,0,2
house,house,50000,for sale,7340,semi equipped,None,to renovate,fueloil,598,2,200,0,None,1,0,None
house,house,50000,for sale,7340,semi equipped,None,to renovate,fueloil,598,2,200,0,None,1,0,None
house,house,265000,for sale,9000,installed,1931,to be done up,None,472,2,118,1,None,0,0,1
house,house,265000,for sale,9000,installed,1931,to be done up,None,472,2,118,1,None,0,0,1
house,house,220000,for sale,9000,None,1920,to be done up,gas,323,4,55,0,None,0,0,None
house,house,220000,for sale,9000,None,1920,to be done up,gas,323,4,55,0,None,0,0,None
house,house,265000,for sale,8700,installed,1933,good,gas,394,3,140,1,None,0,0,None
house,house,80000,for sale,4100,None,1937,None,gas,691,1,86,0,None,0,0,None
house,house,229000,for sale,4040,not installed,None,good,gas,798,4,94,0,None,1,0,None
house,house,480000,for sale,2180,installed,None,good,gas,277,3,340,0,None,1,0,None
house,house,235000,for sale,6960,not installed,1907,good,pellet,387,6,1338,0,1338,0,0,1
house,villa,650000,for sale,3201,usa hyper equipped,2013,as new,gas,None,3,2300,0,1000,1,0,None
house,house,80000,for sale,7340,None,None,to restore,None,1026,3,4228,0,None,0,0,None
house,house,310000,for sale,7334,None,None,to be done up,fueloil,557,6,0,0,None,1,0,1
house,house,499000,for sale,8310,None,None,as new,gas,90,5,608,0,None,0,0,None
house,villa,950000,for sale,3090,None,None,as new,gas,463,4,2041,0,None,1,0,None
house,house,299000,for sale,8670,installed,1966,to renovate,gas,763,2,340,0,None,1,0,1
house,house,110000,for sale,8580,None,None,to renovate,pellet,740,2,185,0,None,1,0,None
house,house,110000,for sale,8580,None,None,to renovate,pellet,740,2,185,0,None,1,0,None
house,house,299000,for sale,9660,None,None,to renovate,gas,325,4,523,1,None,1,0,1
house,house,299000,for sale,9660,None,None,to renovate,gas,325,4,523,1,None,1,0,1
house,town house,440000,for sale,1860,None,1977,None,gas,156,4,224,0,None,1,0,None
house,house,225000,for sale,8690,None,None,as new,None,248,5,437,0,None,0,0,None
house,house,595000,for sale,3020,installed,None,None,gas,133,3,797,0,None,1,0,None
house,house,309000,for sale,9032,installed,1942,just renovated,None,178,4,92,0,None,0,0,None
house,house,269000,for sale,8530,installed,1980,good,gas,219,4,173,0,None,1,0,1
house,house,300000,for sale,3800,None,1850,None,fueloil,1046,1,1785,1,None,0,0,1
house,house,360000,for sale,5310,usa installed,2000,good,fueloil,344,3,1097,0,875,0,0,1
house,apartment block,620000,for sale,1070,semi equipped,1910,to renovate,None,287,5,131,0,None,1,0,None
house,apartment block,620000,for sale,1070,semi equipped,1910,to renovate,None,287,5,131,0,None,1,0,None
house,apartment block,620000,for sale,1070,semi equipped,1910,to renovate,None,287,5,131,0,None,1,0,None
house,house,169000,for sale,9470,semi equipped,None,to renovate,None,1847,4,479,0,None,0,0,None
house,house,169000,for sale,9470,semi equipped,None,to renovate,None,1847,4,479,0,None,0,0,None
house group,house group,335000 - 335000,for sale,9401,None,None,None,None,None,None,None,0,None,0,0,None
house,house,325000,for sale,9470,installed,None,good,gas,157,2,135,1,135,0,0,None
house,house,269000,for sale,9300,hyper equipped,None,to be done up,gas,190,3,280,1,None,1,0,None
house,house,269000,for sale,9300,hyper equipped,None,to be done up,gas,190,3,280,1,None,1,0,None
house,house,1750000,for sale,1380,hyper equipped,None,as new,fueloil,170,4,2182,0,None,1,1,2
house,house,100000,for sale,6810,not installed,None,to renovate,None,495,2,1204,1,930,0,0,1
house,house,399000,for sale,5590,usa hyper equipped,None,as new,fueloil,389,4,447,1,None,1,1,1
house,house,399000,for sale,5590,usa hyper equipped,None,as new,fueloil,389,4,447,1,None,1,1,1
house,house,249950,for sale,9660,None,None,None,gas,368,5,664,0,None,1,0,1
house,house,249950,for sale,9660,None,None,None,gas,368,5,664,0,None,1,0,1
house,house,235000,for sale,1400,installed,None,good,gas,349,2,238,0,None,1,0,1
house,house,235000,for sale,7181,installed,None,good,gas,353,2,238,0,None,1,0,1
house,house,235000,for sale,7181,installed,None,good,gas,353,2,238,0,None,1,0,1
house,country cottage,199000,for sale,7861,semi equipped,None,to renovate,wood,797,2,2100,0,None,0,0,None
house,house,550000,for sale,1140,usa hyper equipped,1931,as new,None,306,3,150,0,40,1,0,None
house,house,640000,for sale,1470,hyper equipped,1985,None,fueloil,279,5,2800,0,2300,1,1,5
house,villa,2280000,for sale,1640,hyper equipped,1986,None,gas,130,5,2262,0,None,1,0,2
house,house,133000,for sale,8200,None,1955,to be done up,None,696,5,320,0,None,0,0,1
house,house,405000,for sale,1315,None,None,None,gas,None,3,598,0,400,1,0,None
house,house,295000,for sale,1502,installed,1960,None,fueloil,637,2,208,0,None,1,0,None
house,house,295000,for sale,1500,installed,1960,None,fueloil,637,2,208,0,None,1,0,None
house,house,519000,for sale,8000,None,1925,good,None,316,4,162,0,None,1,0,2
house,house,519000,for sale,8000,None,1925,good,None,316,4,162,0,None,1,0,2
house,house,289800,for sale,8000,None,None,as new,None,None,2,90,0,None,0,0,None
house,house,150000,for sale,9000,None,1903,None,gas,425,2,40,1,None,0,0,1
house,house,150000,for sale,9000,None,1903,None,gas,425,2,40,1,None,0,0,1
house,house,335000,for sale,4340,installed,1958,just renovated,fueloil,351,2,1159,0,795,1,0,2
house,house,395000,for sale,2150,hyper equipped,None,as new,gas,None,3,200,0,76,1,0,None
house,house,395000,for sale,2150,hyper equipped,None,as new,gas,None,3,200,0,76,1,0,None
house,bungalow,50000,for sale,4120,installed,1973,good,fueloil,565,2,927,0,None,1,0,1
house,bungalow,50000,for sale,4120,installed,1973,good,fueloil,565,2,927,0,None,1,0,1
house,house,205000,for sale,5000,installed,None,good,fueloil,801,3,720,0,None,1,0,None
house,house,169000,for sale,9900,None,1952,to renovate,carbon,1139,3,401,0,None,0,0,None
house,house,169000,for sale,9900,None,1952,to renovate,carbon,1139,3,401,0,None,0,0,None
house,house,350000,for sale,6600,None,1973,None,fueloil,491,4,1053,0,None,0,0,None
house,house,176000,for sale,6141,None,None,None,None,387,2,406,0,None,0,0,1
house,exceptional property,1695000,for sale,2000,installed,None,as new,None,397,5,131,0,None,0,0,None
house,house,280000,for sale,7850,installed,None,good,fueloil,401,4,292,1,125,1,0,None
house,house,280000,for sale,7850,installed,None,good,fueloil,401,4,292,1,125,1,0,None
house,villa,985000,for sale,1410,hyper equipped,1960,as new,gas,None,4,1917,1,None,1,0,1
house,apartment block,290000,for sale,9820,None,None,None,None,None,2,0,0,None,1,0,None
house,apartment block,290000,for sale,9820,None,None,None,None,None,2,0,0,None,1,0,None
house,apartment block,580000,for sale,9820,None,None,None,None,None,4,0,0,None,1,0,None
house,apartment block,580000,for sale,9820,None,None,None,None,None,4,0,0,None,1,0,None
house,apartment block,495000,for sale,2850,None,None,None,gas,316,5,159,0,None,1,0,None
house,house,209000,for sale,4602,semi equipped,None,good,fueloil,330,4,300,0,None,1,0,1
house,bungalow,349000,for sale,4420,installed,None,just renovated,gas,474,4,1129,0,850,1,0,2
house,house,179000,for sale,5590,semi equipped,None,good,pellet,593,3,526,0,None,0,0,2
house,house,370000,for sale,3360,None,1959,to renovate,fueloil,916,3,468,0,None,0,0,None
house,chalet,100000,for sale,5600,installed,1973,None,gas,564,1,1080,0,1030,1,0,None
house,house,225000,for sale,4540,semi equipped,1899,to be done up,None,427,3,595,0,None,1,0,2
house,mixed use building,1250000,for sale,6042,None,1973,as new,gas,None,10,722,0,245,0,0,None
house,house,195000,for sale,3040,None,1911,to renovate,gas,945,2,2142,1,None,0,0,1
house,bungalow,200000,for sale,3621,installed,1990,None,None,427,2,612,0,None,0,0,2
house,bungalow,200000,for sale,3621,installed,1990,None,None,427,2,612,0,None,0,0,2
house,house,290000,for sale,1470,None,1900,to be done up,None,327,5,240,0,240,1,0,None
house,bungalow,139000,for sale,6441,installed,None,None,electric,355,2,241,0,None,1,0,None
house,bungalow,139000,for sale,6441,installed,None,None,electric,355,2,241,0,None,1,0,None
house,house,189000,for sale,5030,installed,None,good,None,233,3,60,0,None,0,0,None
house,house,30000,for sale,4000,None,None,to renovate,fueloil,360,2,89,0,None,0,0,None
house,house,100000,for sale,7380,None,None,to be done up,gas,544,3,0,0,None,1,0,1
house,house,265000,for sale,5370,None,1951,good,fueloil,536,3,945,1,821,1,0,1
house,house,175000,for sale,7012,None,None,to be done up,fueloil,316,3,400,0,None,0,0,None
house,house,175000,for sale,7012,None,None,to be done up,fueloil,316,3,400,0,None,0,0,None
house,villa,950000,for sale,1630,None,1965,to be done up,gas,481,4,2000,0,None,1,0,None
house,exceptional property,975000,for sale,2280,installed,1854,good,fueloil,541,5,2283,0,None,0,0,6
house,house,270000,for sale,6687,semi equipped,1997,good,fueloil,222,3,938,0,None,0,0,1
house,house,390000,for sale,8501,None,1968,good,None,282,4,282,0,None,0,0,2
house,house,390000,for sale,8501,None,1968,good,None,282,4,282,0,None,0,0,2
house,house,305000,for sale,8370,None,2022,as new,None,None,2,100,0,None,0,0,None
house,house,305000,for sale,8370,None,2022,as new,None,None,2,100,0,None,0,0,None
house,house,295000,for sale,9160,installed,1987,good,electric,380,3,125,0,None,1,0,1
house,house,289000,for sale,9620,installed,None,just renovated,gas,366,3,320,0,200,1,0,None
house,house,925000,for sale,1420,installed,None,good,None,594,5,8080,1,None,1,0,1
house,house,925000,for sale,1420,installed,None,good,None,594,5,8080,1,None,1,0,1
house group,house group,350000 - 365000,for sale,9860,None,None,None,None,None,None,None,0,None,0,0,None
house,house,410000,for sale,9660,None,1995,None,fueloil,281,3,2184,0,None,1,0,2
house,house,410000,for sale,9660,None,1995,None,fueloil,281,3,2184,0,None,1,0,2
house,house,325000,for sale,9700,None,None,to renovate,fueloil,314,3,1442,0,None,1,0,None
house,house,190000,for sale,9500,None,1952,as new,gas,357,3,1404,1,None,1,0,None
house,house,340000,for sale,9570,None,1962,as new,gas,880,3,1952,0,None,0,0,1
house,house,299000,for sale,9000,installed,None,just renovated,gas,242,3,33,0,None,0,0,None
house,house,299000,for sale,9000,installed,None,just renovated,gas,242,3,33,0,None,0,0,None
house,house,349000,for sale,9000,None,None,as new,gas,152,2,0,0,None,1,0,None
house,house,168000,for sale,9120,semi equipped,1880,to restore,gas,460,2,235,1,130,1,0,None
house,house,298000,for sale,9060,hyper equipped,None,as new,gas,210,4,208,1,130,0,0,None
house,house,429000,for sale,3140,installed,1984,None,fueloil,275,3,1042,0,None,0,0,1
house,house,365000,for sale,9900,semi equipped,None,to be done up,gas,None,4,510,0,None,0,0,1
house,house,365000,for sale,9900,semi equipped,None,to be done up,gas,None,4,510,0,None,0,0,1
house,house,339000,for sale,9200,hyper equipped,1960,None,fueloil,253,3,400,0,None,1,0,1
house,house,339000,for sale,9200,hyper equipped,1960,None,fueloil,253,3,400,0,None,1,0,1
house,house,698000,for sale,2018,usa hyper equipped,None,good,None,357,4,0,0,None,0,1,None
house,house,698000,for sale,2018,usa hyper equipped,None,good,None,357,4,0,0,None,0,1,None
house,house,289000,for sale,4400,None,1958,good,gas,524,4,820,1,412,1,0,1
house,house,289000,for sale,4400,None,1958,good,gas,524,4,820,1,412,1,0,1
house,house,218500,for sale,8770,None,None,None,None,None,4,240,0,None,1,0,1
house,house,335000,for sale,9040,None,1960,good,gas,229,3,70,1,None,0,0,None
house,mixed use building,290000,for sale,7011,installed,None,to renovate,fueloil,469,5,715,0,20,1,0,10
house,house,200000,for sale,6180,installed,1974,good,None,244,3,0,0,None,0,0,1
house,house,49000,for sale,4032,None,None,to restore,gas,422,1,35,0,None,1,0,None
house,house,49000,for sale,4032,None,None,to restore,gas,422,1,35,0,None,1,0,None
house,villa,3900000,for sale,1640,hyper equipped,1965,as new,gas,169,6,3000,0,None,1,1,3
house,apartment block,3699000,for sale,4820,installed,2010,good,gas,201,94,3699,0,778,1,0,34
house,mansion,580000,for sale,7973,installed,1890,good,fueloil,312,9,1970,1,1598,1,1,None
house,house,250000,for sale,3201,None,None,to renovate,fueloil,552,2,654,1,None,1,0,2
house,house,250000,for sale,3201,None,None,to renovate,fueloil,552,2,654,1,None,1,0,2
